N,radius,length,orientation,force,velocity,theory_velocity,numerical_mobility,theoretical_mobility,relative_error,angular_velocity,Re,dt
642,1.0,2.0,transverse,1.0,0.04264477134717681,0.04331648895742646,0.04264477134717681,0.04331648895742646,1.5507203524963467,6.643701648090044e-05,0.08528954269435363,deterministic_mobility
2562,1.0,2.0,axial,0.01,0.00043633377460344764,0.0004331648895742646,0.04363337746034476,0.04331648895742646,0.7315655320766105,8.261075982722374e-08,0.0008726675492068953,deterministic_mobility
2562,1.0,2.0,transverse,0.01,0.00043240835985341623,0.0004331648895742646,0.043240835985341626,0.04331648895742646,0.17465167169756862,5.628987645974662e-08,0.0008648167197068325,deterministic_mobility
2562,1.0,2.0,axial,0.02,0.0008726675492068953,0.0008663297791485292,0.04363337746034476,0.04331648895742646,0.7315655320766105,1.6522151965444748e-07,0.0017453350984137906,deterministic_mobility
2562,1.0,2.0,transverse,0.02,0.0008648167197068325,0.0008663297791485292,0.043240835985341626,0.04331648895742646,0.17465167169756862,1.1257975291949323e-07,0.001729633439413665,deterministic_mobility
2562,1.0,2.0,axial,0.05,0.0021816688730172383,0.002165824447871323,0.04363337746034476,0.04331648895742646,0.7315655320766079,4.130537991361187e-07,0.0043633377460344765,deterministic_mobility
2562,1.0,2.0,transverse,0.05,0.0021620417992670813,0.002165824447871323,0.043240835985341626,0.04331648895742646,0.17465167169756612,2.814493822987331e-07,0.004324083598534163,deterministic_mobility
2562,1.0,2.0,axial,0.1,0.0043633377460344765,0.004331648895742646,0.04363337746034476,0.04331648895742646,0.7315655320766079,8.261075982722374e-07,0.008726675492068953,deterministic_mobility
2562,1.0,2.0,transverse,0.1,0.004324083598534163,0.004331648895742646,0.043240835985341626,0.04331648895742646,0.17465167169756612,5.628987645974662e-07,0.008648167197068325,deterministic_mobility
2562,1.0,2.0,axial,0.2,0.008726675492068953,0.008663297791485293,0.04363337746034476,0.04331648895742646,0.7315655320766079,1.6522151965444748e-06,0.017453350984137906,deterministic_mobility
2562,1.0,2.0,transverse,0.2,0.008648167197068325,0.008663297791485293,0.043240835985341626,0.04331648895742646,0.17465167169756612,1.1257975291949325e-06,0.01729633439413665,deterministic_mobility
2562,1.0,2.0,axial,0.5,0.02181668873017238,0.02165824447871323,0.04363337746034476,0.04331648895742646,0.7315655320766161,4.130537991361187e-06,0.04363337746034476,deterministic_mobility
2562,1.0,2.0,transverse,0.5,0.021620417992670813,0.02165824447871323,0.043240835985341626,0.04331648895742646,0.1746516716975541,2.814493822987331e-06,0.043240835985341626,deterministic_mobility
2562,1.0,2.0,axial,1.0,0.04363337746034476,0.04331648895742646,0.04363337746034476,0.04331648895742646,0.7315655320766161,8.261075982722373e-06,0.08726675492068953,deterministic_mobility
2562,1.0,2.0,transverse,1.0,0.043240835985341626,0.04331648895742646,0.043240835985341626,0.04331648895742646,0.1746516716975541,5.628987645974662e-06,0.08648167197068325,deterministic_mobility
