dt,step,time,x,y,z,Uz,U_mag,Omega_mag
0.05,24,1.2000000000000002,-2.762007180659509e-05,8.226157248981484e-05,-0.0502585453479425,-0.04188212164416946,0.041882184066312764,3.09724035658615e-05
0.05,25,1.25,-2.877109907852422e-05,8.568896289004988e-05,-0.05235265143015098,-0.04188212168583283,0.04188218410768542,3.09723429909097e-05
0.05,26,1.3,-2.992214162585771e-05,8.911633928107472e-05,-0.05444675751444262,-0.04188212172749536,0.04188218414905724,3.097228241608484e-05
0.05,27,1.35,-3.1073199448557725e-05,9.254370166293595e-05,-0.056540863600817386,-0.041882121769157024,0.04188218419042821,3.097222184138692e-05
0.05,28,1.4000000000000001,-3.2224272546586416e-05,9.597105003568015e-05,-0.058634969689275236,-0.04188212181081784,0.04188218423179833,3.097216126681594e-05
0.05,29,1.4500000000000002,-3.337536091990594e-05,9.939838439935391e-05,-0.06072907577981613,-0.04188212185247782,0.04188218427316762,3.0972100692371915e-05
0.05,30,1.5,-3.4526464568478455e-05,0.00010282570475400382,-0.06282318187244001,-0.04188212189413694,0.04188218431453606,3.0972040118054814e-05
0.05,31,1.55,-3.567758349226611e-05,0.00010625301109967644,-0.06491728796714687,-0.0418821219357952,0.04188218435590364,3.0971979543864667e-05
0.05,32,1.6,-3.682871769123107e-05,0.00010968030343641836,-0.06701139406393662,-0.04188212197745263,0.04188218439727039,3.097191896980145e-05
0.05,33,1.6500000000000001,-3.7979867165335493e-05,0.00011310758176427617,-0.06910550016280925,-0.041882122019109215,0.04188218443863632,3.09718583958652e-05
0.05,34,1.7000000000000002,-3.913103191454153e-05,0.00011653484608329646,-0.07119960626376472,-0.04188212206076497,0.0418821844800014,3.097179782205589e-05
0.05,35,1.75,-4.0282211938811334e-05,0.00011996209639352581,-0.07329371236680296,-0.04188212210241986,0.04188218452136564,3.097173724837352e-05
0.05,36,1.8,-4.143340723810707e-05,0.0001233893326950108,-0.07538781847192395,-0.04188212214407388,0.041882184562729005,3.097167667481807e-05
0.05,37,1.85,-4.258461781239089e-05,0.00012681655498779801,-0.07748192457912764,-0.04188212218572707,0.04188218460409155,3.09716161013896e-05
0.05,38,1.9000000000000001,-4.373584366162496e-05,0.00013024376327193404,-0.079576030688414,-0.04188212222737942,0.041882184645453256,3.097155552808806e-05
0.05,39,1.9500000000000002,-4.488708478577142e-05,0.00013367095754746546,-0.08167013679978297,-0.0418821222690309,0.0418821846868141,3.097149495491345e-05
0.05,40,2.0,-4.603834118479244e-05,0.00013709813781443884,-0.0837642429132345,-0.04188212231068155,0.04188218472817412,3.09714343818658e-05
0.05,41,2.0500000000000003,-4.718961285865018e-05,0.00014052530407290077,-0.08585834902876859,-0.04188212235233135,0.041882184769533294,3.0971373808945093e-05
0.05,42,2.1,-4.8340899807306784e-05,0.00014395245632289785,-0.08795245514638515,-0.04188212239398027,0.04188218481089159,3.097131323615132e-05
0.05,43,2.15,-4.949220203072442e-05,0.00014737959456447667,-0.09004656126608417,-0.041882122435628374,0.04188218485224908,3.09712526634845e-05
0.05,44,2.2,-5.064351952886524e-05,0.0001508067187976838,-0.09214066738786558,-0.041882122477275595,0.041882184893605685,3.097119209094461e-05
0.05,45,2.25,-5.17948523016914e-05,0.0001542338290225658,-0.09423477351172936,-0.04188212251892201,0.0418821849349615,3.097113151853168e-05
0.05,46,2.3000000000000003,-5.2946200349165065e-05,0.0001576609252391693,-0.09632887963767546,-0.041882122560567565,0.041882184976316454,3.09710709462457e-05
0.05,47,2.35,-5.409756367124838e-05,0.00016108800744754086,-0.09842298576570384,-0.04188212260221226,0.041882185017670555,3.097101037408665e-05
0.05,48,2.4000000000000004,-5.524894226790352e-05,0.00016451507564772705,-0.10051709189581445,-0.0418821226438561,0.0418821850590238,3.097094980205456e-05
0.05,49,2.45,-5.640033613909262e-05,0.00016794212983977448,-0.10261119802800726,-0.041882122685499096,0.04188218510037621,3.09708892301494e-05
0.05,50,2.5,-5.755174528477786e-05,0.0001713691700237297,-0.10470530416228221,-0.04188212272714125,0.041882185141727785,3.09708286583712e-05
0.05,51,2.5500000000000003,-5.8703169704921384e-05,0.00017479619619963934,-0.10679941029863928,-0.041882122768782545,0.041882185183078506,3.0970768086719935e-05
0.05,52,2.6,-5.985460939948535e-05,0.00017822320836754994,-0.10889351643707841,-0.041882122810423014,0.04188218522442841,3.097070751519564e-05
0.05,53,2.6500000000000004,-6.1006064368431915e-05,0.00018165020652750812,-0.11098762257759956,-0.0418821228520626,0.04188218526577743,3.0970646943798266e-05
0.05,54,2.7,-6.215753461172324e-05,0.00018507719067956043,-0.1130817287202027,-0.04188212289370136,0.04188218530712563,3.097058637252784e-05
0.05,55,2.75,-6.330902012932148e-05,0.0001885041608237535,-0.11517583486488776,-0.04188212293533925,0.04188218534847297,3.097052580138437e-05
0.05,56,2.8000000000000003,-6.446052092118881e-05,0.00019193111696013385,-0.11726994101165472,-0.04188212297697631,0.041882185389819485,3.097046523036785e-05
0.05,57,2.85,-6.561203698728737e-05,0.00019535805908874813,-0.11936404716050354,-0.04188212301861252,0.04188218543116515,3.0970404659478265e-05
0.05,58,2.9000000000000004,-6.676356832757932e-05,0.0001987849872096429,-0.12145815331143417,-0.04188212306024789,0.04188218547250998,3.097034408871565e-05
0.05,59,2.95,-6.791511494202682e-05,0.00020221190132286472,-0.12355225946444656,-0.04188212310188241,0.04188218551385397,3.0970283518079975e-05
0.05,60,3.0,-6.906667683059203e-05,0.0002056388014284602,-0.12564636561954068,-0.041882123143516074,0.041882185555197106,3.097022294757124e-05
0.05,61,3.0500000000000003,-7.02182539932371e-05,0.00020906568752647591,-0.1277404717767165,-0.041882123185148896,0.041882185596539404,3.097016237718947e-05
0.05,62,3.1,-7.13698464299242e-05,0.00021249255961695846,-0.12983457793597394,-0.04188212322678086,0.04188218563788085,3.0970101806934624e-05
0.05,63,3.1500000000000004,-7.252145414061547e-05,0.0002159194176999544,-0.13192868409731298,-0.04188212326841197,0.041882185679221445,3.097004123680674e-05
0.05,64,3.2,-7.36730771252731e-05,0.00021934626177551032,-0.13402279026073358,-0.041882123310042235,0.04188218572056121,3.096998066680579e-05
0.05,65,3.25,-7.482471538385922e-05,0.00022277309184367283,-0.1361168964262357,-0.04188212335167167,0.04188218576190014,3.0969920096931826e-05
0.05,66,3.3000000000000003,-7.5976368916336e-05,0.0002261999079044885,-0.13821100259381927,-0.04188212339330026,0.041882185803238235,3.09698595271848e-05
