step,time,x,y,z,Ux,Uy,Uz,U_mag,Omega_x,Omega_y,Omega_z,Omega_mag,q0,q1,q2,q3,normal_x,normal_y,normal_z,tilt_angle_deg
27,2.7,0.03076019458888506,-7.463757988681612e-18,9.797202601205228,0.011392664662549998,-8.209995111280848e-18,-0.07511014826943443,0.07596925155067502,-1.3397565737915785e-18,1.8454606130758225e-08,-8.366577488421159e-19,1.8454606130758225e-08,0.9238795229772189,1.8639308815851252e-19,0.382683455382365,3.391571119635268e-19,0.7071068164198664,-8.482988370086233e-20,0.707106745953227,45.00000285490193
28,2.8000000000000003,0.03189946105514006,-5.6545431985140496e-18,9.789691586376183,0.011392664662549998,-2.7219449293855794e-17,-0.07511014831148385,0.07596925159224893,-9.727894342100955e-18,1.8454606088023504e-08,-1.759368667159573e-18,1.8454606088023504e-08,0.9238795226241052,2.715711205955162e-19,0.3826834562348566,3.49290997400467e-19,0.707106817724804,-2.3446222227469556e-19,0.707106744648289,45.00000296063905
29,2.9000000000000004,0.03303872752139506,-4.836820963888942e-18,9.782180571542932,0.011392664662549993,1.9849122608252223e-17,-0.0751101483535333,0.07596925163382286,3.2261737978368605e-19,1.8454606057329948e-08,-1.680029100832368e-18,1.8454606057329948e-08,0.9238795222709916,3.872819956168082e-19,0.38268345708734824,4.924995872418694e-19,0.7071068190297416,-3.3866092086960464e-19,0.7071067433433513,45.000003066376145
30,3.0,0.034177993987650056,-5.659561382694494e-18,9.774669556705476,0.011392664662549958,8.200824966051234e-18,-0.07511014839558267,0.0759692516753967,-3.6803018375073556e-18,1.845460601789579e-08,1.0489217426668627e-19,1.845460601789579e-08,0.923879521917878,6.91287119867893e-19,0.38268345793983993,6.462178460996352e-19,0.7071068203346794,-7.827382677673842e-19,0.7071067420384138,45.00000317211323
31,3.1,0.035317260453905056,-2.9361821484208018e-18,9.767158541863814,0.011392664662549975,-1.0799985032517285e-17,-0.0751101484376321,0.07596925171697061,1.8349421563473527e-18,1.8454605985405625e-08,2.2114792479152204e-18,1.8454605985405625e-08,0.9238795215647644,6.399430052012198e-19,0.38268345879233157,6.009869115143174e-19,0.707106821639617,-7.224849749736011e-19,0.7071067407334759,45.00000327785034
32,3.2,0.036456526920160055,-3.0302748757261385e-18,9.759647527017949,0.011392664662549967,1.0816348812782998e-17,-0.07511014847968155,0.07596925175854455,-1.2641245964787698e-18,1.845460594589715e-08,-1.0523032235358424e-18,1.845460594589715e-08,0.9238795212116507,6.035290684638414e-19,0.3826834596448232,5.894125173372294e-19,0.7071068229445546,-6.640594510342242e-19,0.707106739428538,45.00000338358746
33,3.3000000000000003,0.03759579338641505,-2.2082338155782848e-18,9.752136512167878,0.01139266466254997,1.0746828649454482e-17,-0.07511014852173098,0.07596925180011846,3.7343251945734894e-18,1.8454605917060293e-08,-3.186476671989508e-19,1.8454605917060293e-08,0.9238795208585371,6.067826719316467e-19,0.38268346049731483,5.7845228971821e-19,0.7071068242494922,-6.784599204950254e-19,0.7071067381236,45.00000348932458
34,3.4000000000000004,0.03873505985267004,-4.925004265334337e-18,9.744625497313603,0.011392664662549954,8.174433566739654e-18,-0.07511014856378043,0.07596925184169238,4.1938252715042886e-18,1.8454605889671737e-08,1.0514867544189156e-18,1.8454605889671737e-08,0.9238795205054234,3.0763375285134717e-19,0.38268346134980646,5.73716443145069e-19,0.7071068255544298,-1.2932945955906418e-19,0.7071067368186623,45.00000359506168
35,3.5,0.03987432631892504,-6.008256607988297e-18,9.737114482455123,0.01139266466254993,1.0743603764916313e-17,-0.07511014860582986,0.0759692518832663,1.5447407584552435e-18,1.845460585436885e-08,2.7983534061970765e-19,1.845460585436885e-08,0.9238795201523099,2.0778250028260324e-19,0.38268346220229815,5.318066860491312e-19,0.7071068268593677,2.3095254364946938e-20,0.7071067355137248,45.00000370079876
36,3.6,0.041013592785180034,-8.987555962197073e-18,9.729603467592437,0.011392664662549956,-8.20074566679485e-18,-0.07511014864787924,0.07596925192484015,5.702886685418997e-19,1.8454605820393627e-08,5.786801047415614e-19,1.8454605820393627e-08,0.9238795197991962,6.822689001560437e-20,0.3826834630547898,4.885224985297158e-19,0.7071068281643053,2.4783211026504194e-19,0.7071067342087869,45.00000380653587
